"Order";"Level";"Code";"Parent";"Description"
"1456606";"4";"0180";"018";"Sugar crops"
"1456607";"5";"01801";"0180";"Sugar beet"
"1456608";"5";"01802";"0180";"Sugar cane"
"1456609";"5";"01803";"0180";"Sugar beet seeds"
"1456610";"5";"01809";"0180";"Other sugar crops n.e.c."
"1456611";"3";"019";"01";"Forage products; fibre crops; plants used in perfumery, pharmacy, or for insecticidal, fungicidal or similar purposes; beet, forage plant and flower seeds; natural rubber; living plants, cut flowers and flower buds; unmanufactured tobacco; other raw vegetable materials"
"1456612";"4";"0191";"019";"Forage products"
"1456613";"5";"01911";"0191";"Maize for forage and silage"
"1456614";"5";"01912";"0191";"Alfalfa for forage and silage"
"1456615";"5";"01913";"0191";"Cereal straw, husks, unprepared, ground, pressed, or in the form of pellets"
"1456616";"5";"01919";"0191";"Forage products, n.e.c."
"1456617";"4";"0192";"019";"Fibre crops"
"1456618";"5";"01921";"0192";"Cotton, whether or not ginned"
"1456619";"5";"01922";"0192";"Jute, kenaf, and other textile bast fibres, raw or retted, except flax, true hemp and ramie"
"1456620";"5";"01929";"0192";"Other fibre crops, raw, n.e.c."
"1456621";"4";"0193";"019";"Plants and parts of plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes"
"1456622";"5";"01930";"0193";"Plants and parts of plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes"
"1456623";"4";"0194";"019";"Beet seeds (excluding sugar beet seeds) and seeds of forage plants"
"1456624";"5";"01940";"0194";"Beet seeds (excluding sugar beet seeds) and seeds of forage plants"
"1456625";"4";"0195";"019";"Natural rubber in primary forms or in plates, sheets or strip"
"1456626";"5";"01950";"0195";"Natural rubber in primary forms or in plates, sheets or strip"
"1456627";"4";"0196";"019";"Living plants; cut flowers and flower buds; flower seeds"
"1456628";"5";"01961";"0196";"Live plants; bulbs, tubers and roots; cuttings and slips; mushroom spawn"
"1456629";"5";"01962";"0196";"Cut flowers and flower buds including bouquets, wreaths, floral baskets and similar articles"
"1456630";"5";"01963";"0196";"Flower seeds"
"1456631";"4";"0197";"019";"Unmanufactured tobacco"
"1456632";"5";"01970";"0197";"Unmanufactured tobacco"
"1456633";"4";"0199";"019";"Other raw vegetable materials, n.e.c."
"1456634";"5";"01990";"0199";"Other raw vegetable materials, n.e.c."
"1456635";"2";"02";"0";"Live animals and animal products (excluding meat)"
"1456636";"3";"021";"02";"Live animals"
"1456637";"4";"0211";"021";"Bovine animals, live"
"1456638";"5";"02111";"0211";"Cattle"
"1456639";"5";"02112";"0211";"Buffalo"
"1456640";"5";"02119";"0211";"Other bovine animals"
"1456641";"4";"0212";"021";"Other ruminants"
"1456642";"5";"02121";"0212";"Camels and camelids"
"1456643";"5";"02122";"0212";"Sheep"
"1456644";"5";"02123";"0212";"Goats"
"1456645";"5";"02129";"0212";"Other ruminants, n.e.c."
"1456646";"4";"0213";"021";"Horses and other equines"
"1456647";"5";"02131";"0213";"Horses"
"1456648";"5";"02132";"0213";"Asses"
"1456649";"5";"02133";"0213";"Mules and hinnies"
"1456650";"4";"0214";"021";"Swine / pigs"
"1456651";"5";"02140";"0214";"Swine / pigs"
"1456652";"4";"0215";"021";"Poultry"
"1456653";"5";"02151";"0215";"Chickens"
"1456654";"5";"02152";"0215";"Turkeys"
"1456655";"5";"02153";"0215";"Geese"
"1456656";"5";"02154";"0215";"Ducks"
"1456657";"5";"02155";"0215";"Guinea fowls"
"1456658";"4";"0219";"021";"Other live animals"
"1456659";"5";"02191";"0219";"Rabbits and hares"
"1456660";"5";"02192";"0219";"Other mammals"
"1456661";"5";"02193";"0219";"Ostriches and emus"
"1456662";"5";"02194";"0219";"Other birds"
"1456663";"5";"02195";"0219";"Reptiles"
"1456664";"5";"02196";"0219";"Bees"
"1456665";"5";"02199";"0219";"Other live animals, n.e.c."
"1456666";"3";"022";"02";"Raw milk"
"1456667";"4";"0221";"022";"Raw milk from bovine animals"
"1456668";"5";"02211";"0221";"Raw milk of cattle"
"1456669";"5";"02212";"0221";"Raw milk of buffalo"
"1456670";"4";"0229";"022";"Other raw milk"
"1456671";"5";"02291";"0229";"Raw milk of sheep"
"1456672";"5";"02292";"0229";"Raw milk of goats"
"1456673";"5";"02293";"0229";"Raw milk of camel"
"1456674";"5";"02299";"0229";"Other raw milk n.e.c."
"1456675";"3";"023";"02";"Eggs of hens or other birds in shell, fresh"
"1456676";"4";"0231";"023";"Hen eggs in shell, fresh"
"1456677";"5";"02311";"0231";"Hen eggs in shell, fresh, for hatching"
"1456678";"5";"02312";"0231";"Other hen eggs in shell, fresh"
"1456679";"4";"0232";"023";"Eggs from other birds in shell, fresh, n.e.c."
"1456680";"5";"02321";"0232";"Eggs from other birds in shell, fresh, for hatching"
"1456681";"5";"02322";"0232";"Other eggs from other birds in shell, fresh"
"1456682";"3";"024";"02";"Reproductive materials of animals"
"1456683";"4";"0241";"024";"Semen"
"1456684";"5";"02411";"0241";"Bovine semen"
"1456685";"5";"02419";"0241";"Semen, n.e.c."
"1456686";"4";"0242";"024";"Embryos"
"1456687";"5";"02420";"0242";"Embryos"
"1456688";"3";"029";"02";"Other animal products"
"1456689";"4";"0291";"029";"Natural honey"
"1456690";"5";"02910";"0291";"Natural honey"
"1456691";"4";"0292";"029";"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails"
"1456692";"5";"02920";"0292";"Snails, fresh, chilled, frozen, dried, salted or in brine, except sea snails"
"1456693";"4";"0293";"029";"Edible products of animal origin n.e.c."
"1456694";"5";"02930";"0293";"Edible products of animal origin n.e.c."
"1456695";"4";"0294";"029";"Raw animal materials used in textiles"
"1456696";"5";"02941";"0294";"Shorn wool, greasy, including fleece-washed shorn wool"
"1456697";"5";"02942";"0294";"Pulled wool, greasy, including fleece-washed pulled wool; coarse animal hair"
"1456698";"5";"02943";"0294";"Fine animal hair, not carded or combed"
"1456699";"5";"02944";"0294";"Silk-worm cocoons suitable for reeling"
"1456700";"4";"0295";"029";"Hides, skins and furskins, raw"
"1456701";"5";"02951";"0295";"Raw hides and skins of bovine animals"
"1456702";"5";"02952";"0295";"Raw hides and skins of equine animals"
"1456703";"5";"02953";"0295";"Raw hides and skins of sheep or lambs"
"1456704";"5";"02954";"0295";"Raw hides and skins of goats or kids"
"1456705";"5";"02955";"0295";"Raw furskins"
"1456706";"5";"02959";"0295";"Raw skins of other animals"
"1456707";"4";"0296";"029";"Insect waxes and spermaceti, whether or not refined or coloured"
"1456708";"5";"02960";"0296";"Insect waxes and spermaceti, whether or not refined or coloured"
"1456709";"2";"03";"0";"Forestry and logging products"
"1456710";"3";"031";"03";"Wood in the rough"
"1456711";"4";"0311";"031";"Logs of coniferous wood"
"1456712";"5";"03110";"0311";"Logs of coniferous wood"
"1456713";"4";"0312";"031";"Logs of non-coniferous wood"
"1456714";"5";"03120";"0312";"Logs of non-coniferous wood"
"1456715";"4";"0313";"031";"Fuel wood, in logs, in billets, in twigs, in faggots or in similar forms"
"1456716";"5";"03131";"0313";"Fuel wood of coniferous wood"
"1456717";"5";"03132";"0313";"Fuel wood of non-coniferous wood"
"1456718";"3";"032";"03";"Non-wood forest products"
"1456719";"4";"0321";"032";"Natural gums and resins, gums-resins and oleoresins"
"1456720";"5";"03211";"0321";"Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip"
"1456721";"5";"03219";"0321";"Lac, resins, balsams, natural gums and other resins n.e.c."
"1456722";"4";"0322";"032";"Natural cork, raw or simply prepared"
"1456723";"5";"03220";"0322";"Natural cork, raw or simply prepared"
"1456724";"4";"0323";"032";"Other wild edible products"
"1456725";"5";"03230";"0323";"Other wild edible products"
"1456726";"4";"0324";"032";"Parts of plants, without flowers or flower buds, and grasses, mosses and lichens, suitable for ornamental purposes"
"1456727";"5";"03241";"0324";"Christmas trees"
"1456728";"5";"03249";"0324";"Other parts of plants, without flowers or flower buds, and grasses, mosses and lichens, suitable for ornamental purposes"
"1456729";"4";"0325";"032";"Vegetable materials of a kind used primarily for plaiting or as stuffing or padding; raw vegetable materials of a kind used primarily for dyeing or tanning; vegetable products n.e.c."
"1456730";"5";"03250";"0325";"Vegetable materials of a kind used primarily for plaiting or as stuffing or padding; raw vegetable materials of a kind used primarily for dyeing or tanning; vegetable products n.e.c."
"1456731";"2";"04";"0";"Fish and other fishing products"
"1456732";"3";"041";"04";"Fish, live, not for human consumption"
"1456733";"4";"0411";"041";"Ornamental fish"
"1456734";"5";"04111";"0411";"Wild ornamental fish"
"1456735";"5";"04112";"0411";"Farmed ornamental fish"
