"Order";"Level";"Code";"Parent";"Description";"This item includes";"This item also includes";"Rulings";"This item excludes"
"1208967";"6";"01.28.14";"01.28.1";"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw";;;;
"1208968";"6";"01.28.15";"01.28.1";"Cinnamon (canella), raw";;;;
"1208969";"6";"01.28.16";"01.28.1";"Cloves (whole stems), raw";;;;
"1208970";"6";"01.28.17";"01.28.1";"Ginger, dry, raw";;;;
"1208971";"6";"01.28.18";"01.28.1";"Vanilla, raw";;;;
"1208972";"6";"01.28.19";"01.28.1";"Other spices, not processed";;;;
"1208973";"5";"01.28.2";"01.28";"Hop cones";;;;
"1208974";"6";"01.28.20";"01.28.2";"Hop cones";;;;
"1208975";"5";"01.28.3";"01.28";"Plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes";;;;
"1208976";"6";"01.28.30";"01.28.3";"Plants used primarily in perfumery, in pharmacy, or for insecticidal, fungicidal or similar purposes";;;;
"1208977";"4";"01.29";"01.2";"Other perennial crops";;;;
"1208978";"5";"01.29.1";"01.29";"Natural rubber";;;;
"1208979";"6";"01.29.10";"01.29.1";"Natural rubber";;;;
"1208980";"5";"01.29.2";"01.29";"Christmas trees, cut";;;;
"1208981";"6";"01.29.20";"01.29.2";"Christmas trees, cut";;;;
"1208982";"5";"01.29.3";"01.29";"Vegetable materials of a kind used primarily for plaiting or as stuffing or padding, or in dyeing or tanning";;;;
"1208983";"6";"01.29.30";"01.29.3";"Vegetable materials of a kind used primarily for plaiting or as stuffing or padding, or in dyeing or tanning";;;;
"1208984";"3";"01.3";"01";"Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn";;;;
"1208985";"4";"01.30";"01.3";"Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn";;;;
"1208986";"5";"01.30.1";"01.30";"Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn";;;;
"1208987";"6";"01.30.10";"01.30.1";"Planting material: live plants, bulbs, tubers and roots, cuttings and slips; mushroom spawn";;;;
"1208988";"3";"01.4";"01";"Live animals and animal products";;;;
"1208989";"4";"01.41";"01.4";"Dairy cattle, live and raw milk from dairy cattle";;;;
"1208990";"5";"01.41.1";"01.41";"Dairy cattle, live";;;;
"1208991";"6";"01.41.10";"01.41.1";"Dairy cattle, live";;;;
"1208992";"5";"01.41.2";"01.41";"Raw milk from dairy cattle";;;;
"1208993";"6";"01.41.20";"01.41.2";"Raw milk from dairy cattle";;;;
"1208994";"4";"01.42";"01.4";"Other cattle and buffaloes, live and their semen";;;;
"1208995";"5";"01.42.1";"01.42";"Other cattle and buffaloes, live";;;;
"1208996";"6";"01.42.11";"01.42.1";"Other cattle and buffaloes, except calves, live";;;;
"1208997";"6";"01.42.12";"01.42.1";"Calves of cattle and buffalo, live";;;;
"1208998";"5";"01.42.2";"01.42";"Cattle and buffalo semen";;;;
"1208999";"6";"01.42.20";"01.42.2";"Cattle and buffalo semen";;;;
"1209000";"4";"01.43";"01.4";"Horses and other equines, live";;;;
"1209001";"5";"01.43.1";"01.43";"Horses and other equines, live";;;;
"1209002";"6";"01.43.11";"01.43.1";"Horses, live";;;;
"1209003";"6";"01.43.12";"01.43.1";"Asses, mules and hinnies, live";;;;
"1209004";"4";"01.44";"01.4";"Camels and camelids, live";;;;
"1209005";"5";"01.44.1";"01.44";"Camels and camelids, live";;;;
"1209006";"6";"01.44.10";"01.44.1";"Camels and camelids, live";;;;
"1209007";"4";"01.45";"01.4";"Sheep and goats, live; raw milk and shorn wool from sheep and goats";;;;
"1209008";"5";"01.45.1";"01.45";"Sheep and goats, live";;;;
"1209009";"6";"01.45.11";"01.45.1";"Sheep, live";;;;
"1209010";"6";"01.45.12";"01.45.1";"Goats, live";;;;
"1209011";"5";"01.45.2";"01.45";"Raw milk from sheep and goats";;;;
"1209012";"6";"01.45.21";"01.45.2";"Raw milk from sheep";;;;
"1209013";"6";"01.45.22";"01.45.2";"Raw milk from goats";;;;
"1209014";"5";"01.45.3";"01.45";"Shorn wool from sheep and goats, greasy, including fleece-washed shorn wool";;;;
"1209015";"6";"01.45.30";"01.45.3";"Shorn wool from sheep and goats, greasy, including fleece-washed shorn wool";;;;
"1209016";"4";"01.46";"01.4";"Swine, live";;;;
"1209017";"5";"01.46.1";"01.46";"Swine, live";;;;
"1209018";"6";"01.46.10";"01.46.1";"Swine, live";;;;
"1209019";"4";"01.47";"01.4";"Poultry, live and eggs";;;;
"1209020";"5";"01.47.1";"01.47";"Poultry, live";;;;
"1209021";"6";"01.47.11";"01.47.1";"Chickens, live";;;;
"1209022";"6";"01.47.12";"01.47.1";"Turkeys, live";;;;
"1209023";"6";"01.47.13";"01.47.1";"Geese, live";;;;
"1209024";"6";"01.47.14";"01.47.1";"Ducks and guinea fowls, live";;;;
"1209025";"5";"01.47.2";"01.47";"Eggs in shell, fresh";;;;
"1209026";"6";"01.47.21";"01.47.2";"Hen eggs in shell, fresh";;;;
"1209027";"6";"01.47.22";"01.47.2";"Eggs from other poultry, in shell, fresh";;;;
