"Order";"Level";"Code";"Parent";"Description"
"681904";"4";"1612";"161";"Unroasted iron pyrites"
"681905";"5";"16120";"1612";"Unroasted iron pyrites"
"681906";"4";"1619";"161";"Other chemical minerals"
"681907";"5";"16190";"1619";"Other chemical minerals"
"681908";"3";"162";"16";"Salt and pure sodium chloride; sea water"
"681909";"4";"1620";"162";"Salt and pure sodium chloride; sea water"
"681910";"5";"16200";"1620";"Salt and pure sodium chloride; sea water"
"681911";"3";"163";"16";"Precious and semi-precious stones; pumice stone; emery; natural abrasives; other minerals"
"681912";"4";"1631";"163";"Precious stones (including diamonds, but not industrial diamonds) and semi-precious stones, unworked or simply sawn or roughly shaped"
"681913";"5";"16310";"1631";"Precious stones (including diamonds, but not industrial diamonds) and semi-precious stones, unworked or simply sawn or roughly shaped"
"681914";"4";"1632";"163";"Industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; emery; natural corundum, natural garnet and other natural abrasives"
"681915";"5";"16320";"1632";"Industrial diamonds, unworked or simply sawn, cleaved or bruted; pumice stone; emery; natural corundum, natural garnet and other natural abrasives"
"681916";"4";"1633";"163";"Chalk and dolomite"
"681917";"5";"16330";"1633";"Chalk and dolomite"
"681918";"4";"1639";"163";"Other minerals n.e.c."
"681919";"5";"16390";"1639";"Other minerals n.e.c."
"681920";"2";"17";"1";"Electricity, town gas, steam and hot water"
"681921";"3";"171";"17";"Electrical energy"
"681922";"4";"1710";"171";"Electrical energy"
"681923";"5";"17100";"1710";"Electrical energy"
"681924";"3";"172";"17";"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons"
"681925";"4";"1720";"172";"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons"
"681926";"5";"17200";"1720";"Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons"
"681927";"3";"173";"17";"Steam and hot water"
"681928";"4";"1730";"173";"Steam and hot water"
"681929";"5";"17300";"1730";"Steam and hot water"
"681930";"3";"174";"17";"Ice and snow"
