"Order";"Level";"Code";"Parent";"Description"
"397320";"4";"2695";"269";"Manufacture of articles of concrete, cement and plaster"
"397321";"4";"2696";"269";"Cutting, shaping and finishing of stone"
"397322";"4";"2699";"269";"Manufacture of other non-metallic mineral products n.e.c."
"397323";"2";"27";"D";"Manufacture of basic metals"
"397324";"3";"271";"27";"Manufacture of basic iron and steel"
"397325";"4";"2710";"271";"Manufacture of basic iron and steel"
"397326";"3";"272";"27";"Manufacture of basic precious and non-ferrous metals"
"397327";"4";"2720";"272";"Manufacture of basic precious and non-ferrous metals"
"397328";"3";"273";"27";"Casting of metals"
"397329";"4";"2731";"273";"Casting of iron and steel"
"397330";"4";"2732";"273";"Casting of non-ferrous metals"
"397331";"2";"28";"D";"Manufacture of fabricated metal products, except machinery and equipment"
"397332";"3";"281";"28";"Manufacture of structural metal products, tanks, reservoirs and steam generators"
"397333";"4";"2811";"281";"Manufacture of structural metal products"
"397334";"4";"2812";"281";"Manufacture of tanks, reservoirs and containers of metal"
"397335";"4";"2813";"281";"Manufacture of steam generators, except central heating hot water boilers"
"397336";"3";"289";"28";"Manufacture of other fabricated metal products; metal working service activities"
"397337";"4";"2891";"289";"Forging, pressing, stamping and roll-forming of metal; powder metallurgy"
"397338";"4";"2892";"289";"Treatment and coating of metals; general mechanical engineering on a fee or contract basis"
"397339";"4";"2893";"289";"Manufacture of cutlery, hand tools and general hardware"
"397340";"4";"2899";"289";"Manufacture of other fabricated metal products n.e.c."
"397341";"2";"29";"D";"Manufacture of machinery and equipment n.e.c."
"397342";"3";"291";"29";"Manufacture of general purpose machinery"
"397343";"4";"2911";"291";"Manufacture of engines and turbines, except aircraft, vehicle and cycle engines"
"397344";"4";"2912";"291";"Manufacture of pumps, compressors, taps and valves"
"397345";"4";"2913";"291";"Manufacture of bearings, gears, gearing and driving elements"
"397346";"4";"2914";"291";"Manufacture of ovens, furnaces and furnace burners"
"397347";"4";"2915";"291";"Manufacture of lifting and handling equipment"
"397348";"4";"2919";"291";"Manufacture of other general purpose machinery"
"397349";"3";"292";"29";"Manufacture of special purpose machinery"
"397350";"4";"2921";"292";"Manufacture of agricultural and forestry machinery"
"397351";"4";"2922";"292";"Manufacture of machine-tools"
"397352";"4";"2923";"292";"Manufacture of machinery for metallurgy"
"397353";"4";"2924";"292";"Manufacture of machinery for mining, quarrying and construction"
"397354";"4";"2925";"292";"Manufacture of machinery for food, beverage and tobacco processing"
"397355";"4";"2926";"292";"Manufacture of machinery for textile, apparel and leather production"
"397356";"4";"2927";"292";"Manufacture of weapons and ammunition"
"397357";"4";"2929";"292";"Manufacture of other special purpose machinery"
"397358";"3";"293";"29";"Manufacture of domestic appliances n.e.c."
"397359";"4";"2930";"293";"Manufacture of domestic appliances n.e.c."
"397360";"2";"30";"D";"Manufacture of office, accounting and computing machinery"
"397361";"3";"300";"30";"Manufacture of office, accounting and computing machinery"
"397362";"4";"3000";"300";"Manufacture of office, accounting and computing machinery"
"397363";"2";"31";"D";"Manufacture of electrical machinery and apparatus n.e.c."
"397364";"3";"311";"31";"Manufacture of electric motors, generators and transformers"
"397365";"4";"3110";"311";"Manufacture of electric motors, generators and transformers"
"397366";"3";"312";"31";"Manufacture of electricity distribution and control apparatus"
"397367";"4";"3120";"312";"Manufacture of electricity distribution and control apparatus"
"397368";"3";"313";"31";"Manufacture of insulated wire and cable"
"397369";"4";"3130";"313";"Manufacture of insulated wire and cable"
"397370";"3";"314";"31";"Manufacture of accumulators, primary cells and primary batteries"
"397371";"4";"3140";"314";"Manufacture of accumulators, primary cells and primary batteries"
"397372";"3";"315";"31";"Manufacture of electric lamps and lighting equipment"
"397373";"4";"3150";"315";"Manufacture of electric lamps and lighting equipment"
"397374";"3";"319";"31";"Manufacture of other electrical equipment n.e.c."
"397375";"4";"3190";"319";"Manufacture of other electrical equipment n.e.c."
"397376";"2";"32";"D";"Manufacture of radio, television and communication equipment and apparatus"
"397377";"3";"321";"32";"Manufacture of electronic valves and tubes and other electronic components"
"397378";"4";"3210";"321";"Manufacture of electronic valves and tubes and other electronic components"
"397379";"3";"322";"32";"Manufacture of television and radio transmitters and apparatus for line telephony and line telegraphy"
"397380";"4";"3220";"322";"Manufacture of television and radio transmitters and apparatus for line telephony and line telegraphy"
"397381";"3";"323";"32";"Manufacture of television and radio receivers, sound or video recording or reproducing apparatus, and associated goods"
"397382";"4";"3230";"323";"Manufacture of television and radio receivers, sound or video recording or reproducing apparatus, and associated goods"
"397383";"2";"33";"D";"Manufacture of medical, precision and optical instruments, watches and clocks"
"397384";"3";"331";"33";"Manufacture of medical appliances and instruments and appliances for measuring, checking, testing, navigating and other purposes, except optical instruments"
"397385";"4";"3311";"331";"Manufacture of medical and surgical equipment and orthopaedic appliances"
"397386";"4";"3312";"331";"Manufacture of instruments and appliances for measuring, checking, testing, navigating and other purposes, except industrial process control equipment"
"397387";"4";"3313";"331";"Manufacture of industrial process control equipment"
"397388";"3";"332";"33";"Manufacture of optical instruments and photographic equipment"
"397389";"4";"3320";"332";"Manufacture of optical instruments and photographic equipment"
"397390";"3";"333";"33";"Manufacture of watches and clocks"
"397391";"4";"3330";"333";"Manufacture of watches and clocks"
"397392";"2";"34";"D";"Manufacture of motor vehicles, trailers and semi-trailers"
